uid,authors,pub_year,pub_month,title,summary
27832979,"Veletzky L, Knafl D, Schuster C, Aberle SW, Stiasny K, Ramharter M, Lagler H","2017","Jan","Zika virus-induced itching rash in a returning traveller from Brazil.","Veletzky L, Knafl D, Schuster C, Aberle SW, Stiasny K, Ramharter M, Lagler H.Zika virus-induced itching rash in a returning traveller from Brazil. Int J Infect Dis. 2017 Jan; 54:13-14." 
27833670,"Patterson J, Sammon M, Garg M","2016","Nov","Dengue, Zika and Chikungunya: Emerging Arboviruses in the New World.","Patterson J, Sammon M, Garg M.Dengue, Zika and Chikungunya: Emerging Arboviruses in the New World. West J Emerg Med. 2016 Nov; 17(6):671-679." 
27834272,"Hombach J, Friede M, Moorphy V, Costello A, Kieny MP","2016","Nov","Developing a vaccine against Zika.","Hombach J, Friede M, Moorphy V, Costello A, Kieny MP.Developing a vaccine against Zika. BMJ. 2016 Nov 10; 355:i5923." 
27835759,"Azevedo RS, Araujo MT, Martins Filho AJ, Oliveira CS, Nunes BT, Cruz AC, Nascimento AG, Medeiros RC, Caldas CA, Araujo FC, Quaresma JA, Vasconcelos BC, Queiroz MG, da Rosa ES, Henriques DF, Silva EV, Chiang JO, Martins LC, Medeiros DB, Lima JA, Nunes MR, Cardoso JF, Silva SP, Shi PY, Tesh RB, Rodrigues SG, Vasconcelos PF","2016","Dec","Zika virus epidemic in Brazil. I. Fatal disease in adults: Clinical and laboratorial aspects.","Azevedo RS, Araujo MT, Martins Filho AJ, Oliveira CS, Nunes BT, Cruz AC, Nascimento AG, Medeiros RC, Caldas CA, Araujo FC, Quaresma JA, Vasconcelos BC, Queiroz MG, da Rosa ES, Henriques DF, Silva EV, Chiang JO, Martins LC, Medeiros DB, Lima JA, Nunes MR, Cardoso JF, Silva SP, Shi PY, Tesh RB, Rodrigues SG, Vasconcelos PF.Zika virus epidemic in Brazil. I. Fatal disease in adults: Clinical and laboratorial aspects. J Clin Virol. 2016 Dec; 85:56-64." 
27835966,"Nicastri E, Pisapia R, Corpolongo A, Fusco FM, Cicalini S, Scognamiglio P, Castilletti C, Bordi L, Di Caro A, Capobianchi MR, Puro V, Ippolito G","2016","Nov","Three cases of Zika virus imported in Italy: need for a clinical awareness and evidence-based knowledge.","Nicastri E, Pisapia R, Corpolongo A, Fusco FM, Cicalini S, Scognamiglio P, Castilletti C, Bordi L, Di Caro A, Capobianchi MR, Puro V, Ippolito G.Three cases of Zika virus imported in Italy: need for a clinical awareness and evidence-based knowledge. BMC Infect Dis. 2016 Nov 11; 16(1):669." 
27837933,"Schaub B, Monthieux A, Najihoullah F, Harte C, Césaire R, Jolivet E, Voluménie JL","2016","Dec","Late miscarriage: another Zika concern?","Schaub B, Monthieux A, Najihoullah F, Harte C, Césaire R, Jolivet E, Voluménie JL.Late miscarriage: another Zika concern? Eur J Obstet Gynecol Reprod Biol. 2016 Dec; 207:240-241." 
27838352,"Julander JG, Siddharthan V, Evans J, Taylor R, Tolbert K, Apuli C, Stewart J, Collins P, Gebre M, Neilson S, Van Wettere A, Lee YM, Sheridan WP, Morrey JD, Babu YS","2017","Jan","Efficacy of the broad-spectrum antiviral compound BCX4430 against Zika virus in cell culture and in a mouse model.","Julander JG, Siddharthan V, Evans J, Taylor R, Tolbert K, Apuli C, Stewart J, Collins P, Gebre M, Neilson S, Van Wettere A, Lee YM, Sheridan WP, Morrey JD, Babu YS.Efficacy of the broad-spectrum antiviral compound BCX4430 against Zika virus in cell culture and in a mouse model. Antiviral Res. 2017 Jan; 137:14-22." 
27838728,"Friedrich MJ","2016","Nov","Where Will Zika Spread?","Friedrich MJ.Where Will Zika Spread? JAMA. 2016 Nov 15; 316(19):1956." 
27842986,"Pastula DM, Khan AS, Sharp TM, Biaukula VL, Naivalu TK, Rafai E, Ermias Belay, Staples JE, Fischer M, Kosoy OI, Laven JJ, Bennett EJ, Jenney AWJ, Naidu RN, Lanciotti RS, Galloway RL, Nilles EJ, Sejvar JJ, Kama M","2017","Jan","Investigation of a Guillain-Barré syndrome cluster in the Republic of Fiji.","Pastula DM, Khan AS, Sharp TM, Biaukula VL, Naivalu TK, Rafai E, Ermias Belay, Staples JE, Fischer M, Kosoy OI, Laven JJ, Bennett EJ, Jenney AWJ, Naidu RN, Lanciotti RS, Galloway RL, Nilles EJ, Sejvar JJ, Kama M.Investigation of a Guillain-Barré syndrome cluster in the Republic of Fiji. J Neurol Sci. 2017 Jan 15; 372:350-355." 
27843157,"Haddow AD, Woodall JP","2016","Oct","Distinguishing between Zika and Spondweni viruses.","Haddow AD, Woodall JP.Distinguishing between Zika and Spondweni viruses. Bull World Health Organ. 2016 Oct 1; 94(10):711-711A." 
27843167,"Paes de Andrade P, Aragão FJ, Colli W, Dellagostin OA, Finardi-Filho F, Hirata MH, Lira-Neto AC, Almeida de Melo M, Nepomuceno AL, Gorgônio da Nóbrega F, Delfino de Sousa G, Valicente FH, Zanettini MH","2016","Oct","Use of transgenic <i>Aedes aegypti</i> in Brazil: risk perception and assessment.","Paes de Andrade P, Aragão FJ, Colli W, Dellagostin OA, Finardi-Filho F, Hirata MH, Lira-Neto AC, Almeida de Melo M, Nepomuceno AL, Gorgônio da Nóbrega F, Delfino de Sousa G, Valicente FH, Zanettini MH.Use of transgenic <i>Aedes aegypti</i> in Brazil: risk perception and assessment. Bull World Health Organ. 2016 Oct 1; 94(10):766-771." 
27843766,"Green R, Wilkins C, Thomas S, Sekine A, Ireton RC, Ferris MT, Hendrick DM, Voss K, de Villena FP, Baric R, Heise M, Gale M Jr","2016","Dec","Identifying protective host gene expression signatures within the spleen during West Nile virus infection in the collaborative cross model.","Green R, Wilkins C, Thomas S, Sekine A, Ireton RC, Ferris MT, Hendrick DM, Voss K, de Villena FP, Baric R, Heise M, Gale M Jr.Identifying protective host gene expression signatures within the spleen during West Nile virus infection in the collaborative cross model. Genom Data. 2016 Dec; 10:114-117." 
27845325,"Phoo WW, Li Y, Zhang Z, Lee MY, Loh YR, Tan YB, Ng EY, Lescar J, Kang C, Luo D","2016","Nov","Structure of the NS2B-NS3 protease from Zika virus after self-cleavage.","Phoo WW, Li Y, Zhang Z, Lee MY, Loh YR, Tan YB, Ng EY, Lescar J, Kang C, Luo D.Structure of the NS2B-NS3 protease from Zika virus after self-cleavage. Nat Commun. 2016 Nov 15; 7:13410." 
27845968,"Deseda CC","2017","Feb","Epidemiology of Zika.","Deseda CC.Epidemiology of Zika. Curr Opin Pediatr. 2017 Feb; 29(1):97-101." 
27846442,"Towers S, Brauer F, Castillo-Chavez C, Falconar AKI, Mubayi A, Romero-Vivas CME","2016","Dec","Estimate of the reproduction number of the 2015 Zika virus outbreak in Barranquilla, Colombia, and estimation of the relative role of sexual transmission.","Towers S, Brauer F, Castillo-Chavez C, Falconar AKI, Mubayi A, Romero-Vivas CME.Estimate of the reproduction number of the 2015 Zika virus outbreak in Barranquilla, Colombia, and estimation of the relative role of sexual transmission. Epidemics. 2016 Dec; 17:50-55." 
27846847,"Wainberg MA, Lever AM","2016","Nov","HIV and Zika: When will we be able to end these epidemics?","Wainberg MA, Lever AM.HIV and Zika: When will we be able to end these epidemics? Retrovirology. 2016 Nov 15; 13(1):80." 
27848922,"Pougnet L, Thill C, Pougnet R, Auvinet H, Giacardi C, Drouillard I","2016","Dec","Zika virus infection.","Pougnet L, Thill C, Pougnet R, Auvinet H, Giacardi C, Drouillard I.Zika virus infection. Ann Biol Clin (Paris). 2016 Dec 1; 74(6):712-716." 
27848978,"Scatà M, Di Stefano A, Liò P, La Corte A","2016","Nov","The Impact of Heterogeneity and Awareness in Modeling Epidemic Spreading on Multiplex Networks.","Scatà M, Di Stefano A, Liò P, La Corte A.The Impact of Heterogeneity and Awareness in Modeling Epidemic Spreading on Multiplex Networks. Sci Rep. 2016 Nov 16; 6:37105." 
27849039,"Swale DR, Engers DW, Bollinger SR, Gross A, Inocente EA, Days E, Kanga F, Johnson RM, Yang L, Bloomquist JR, Hopkins CR, Piermarini PM, Denton JS","2016","Nov","An insecticide resistance-breaking mosquitocide targeting inward rectifier potassium channels in vectors of Zika virus and malaria.","Swale DR, Engers DW, Bollinger SR, Gross A, Inocente EA, Days E, Kanga F, Johnson RM, Yang L, Bloomquist JR, Hopkins CR, Piermarini PM, Denton JS.An insecticide resistance-breaking mosquitocide targeting inward rectifier potassium channels in vectors of Zika virus and malaria. Sci Rep. 2016 Nov 16; 6:36954." 
27849599,"Samuel GH, Wiley MR, Badawi A, Adelman ZN, Myles KM","2016","Nov","Yellow fever virus capsid protein is a potent suppressor of RNA silencing that binds double-stranded RNA.","Samuel GH, Wiley MR, Badawi A, Adelman ZN, Myles KM.Yellow fever virus capsid protein is a potent suppressor of RNA silencing that binds double-stranded RNA. Proc Natl Acad Sci U S A. 2016 Nov 29; 113(48):13863-13868." 
27852793,"Khan S, Woodruff EM, Trapecar M, Fontaine KA, Ezaki A, Borbet TC, Ott M, Sanjabi S","2016","Dec","Dampened antiviral immunity to intravaginal exposure to RNA viral pathogens allows enhanced viral replication.","Khan S, Woodruff EM, Trapecar M, Fontaine KA, Ezaki A, Borbet TC, Ott M, Sanjabi S.Dampened antiviral immunity to intravaginal exposure to RNA viral pathogens allows enhanced viral replication. J Exp Med. 2016 Dec 12; 213(13):2913-2929." 
27852856,"Salinas S, Erkilic N, Damodar K, Molès JP, Fournier-Wirth C, Van de Perre P, Kalatzis V, Simonin Y","2017","Feb","Zika Virus Efficiently Replicates in Human Retinal Epithelium and Disturbs Its Permeability.","Salinas S, Erkilic N, Damodar K, Molès JP, Fournier-Wirth C, Van de Perre P, Kalatzis V, Simonin Y.Zika Virus Efficiently Replicates in Human Retinal Epithelium and Disturbs Its Permeability. J Virol. 2017 Feb 1; 91(3)" 
27853521,"Leal WS","2016","","Zika mosquito vectors: the jury is still out.","Leal WS.Zika mosquito vectors: the jury is still out. F1000Res. 2016; 5:2546." 
27855041,"Whittemore K, Tate A, Illescas A, Saffa A, Collins A, Varma JK, Vora NM","2017","Jan","Zika Virus Knowledge among Pregnant Women Who Were in Areas with Active Transmission.","Whittemore K, Tate A, Illescas A, Saffa A, Collins A, Varma JK, Vora NM.Zika Virus Knowledge among Pregnant Women Who Were in Areas with Active Transmission. Emerg Infect Dis. 2017 Jan; 23(1):164-166." 
27855206,"Manangeeswaran M, Ireland DD, Verthelyi D","2016","Nov","Zika (PRVABC59) Infection Is Associated with T cell Infiltration and Neurodegeneration in CNS of Immunocompetent Neonatal C57Bl/6 Mice.","Manangeeswaran M, Ireland DD, Verthelyi D.Zika (PRVABC59) Infection Is Associated with T cell Infiltration and Neurodegeneration in CNS of Immunocompetent Neonatal C57Bl/6 Mice. PLoS Pathog. 2016 Nov; 12(11):e1006004." 
27855636,"Xu BY, Low SG, Tan RT, Vasanwala FF","2016","Nov","A case series of atypical presentation of Zika Virus infection in Singapore.","Xu BY, Low SG, Tan RT, Vasanwala FF.A case series of atypical presentation of Zika Virus infection in Singapore. BMC Infect Dis. 2016 Nov 17; 16(1):681." 
27855644,"Stoler J, Awandare GA","2016","Nov","Febrile illness diagnostics and the malaria-industrial complex: a socio-environmental perspective.","Stoler J, Awandare GA.Febrile illness diagnostics and the malaria-industrial complex: a socio-environmental perspective. BMC Infect Dis. 2016 Nov 17; 16(1):683." 
27857129,"Holmes D","2017","Jan","Disease watch: Zika virus - concerns for male fertility.","Holmes D.Disease watch: Zika virus - concerns for male fertility. Nat Rev Endocrinol. 2017 Jan; 13(1):3." 
27858969,"Agbulos DS, Barelli L, Giordano BV, Hunter FF","2016","Nov","Zika Virus: Quantification, Propagation, Detection, and Storage.","Agbulos DS, Barelli L, Giordano BV, Hunter FF.Zika Virus: Quantification, Propagation, Detection, and Storage. Curr Protoc Microbiol. 2016 Nov 18; 43:15D.4.1-15D.4.16." 
27859375,"Musso D, Rouault E, Teissier A, Lanteri MC, Zisou K, Broult J, Grange E, Nhan TX, Aubry M","2017","Sep","Molecular detection of Zika virus in blood and RNA load determination during the French Polynesian outbreak.","Musso D, Rouault E, Teissier A, Lanteri MC, Zisou K, Broult J, Grange E, Nhan TX, Aubry M.Molecular detection of Zika virus in blood and RNA load determination during the French Polynesian outbreak. J Med Virol. 2017 Sep; 89(9):1505-1510." 
27860092,"Gelber SE, Grunebaum A, McCullough LB, Chervenak FA","2017","Mar","Fulfilling professional responsibilities when counselling patients about Zika infection.","Gelber SE, Grunebaum A, McCullough LB, Chervenak FA.Fulfilling professional responsibilities when counselling patients about Zika infection. BJOG. 2017 Mar; 124(4):550." 
27862008,"Aziz H, Zia A, Anwer A, Aziz M, Fatima S, Faheem M","2017","Jun","Zika virus: Global health challenge, threat and current situation.","Aziz H, Zia A, Anwer A, Aziz M, Fatima S, Faheem M.Zika virus: Global health challenge, threat and current situation. J Med Virol. 2017 Jun; 89(6):943-951." 
27862959,"Murray JS","2017","Jan","Understanding Zika virus.","Murray JS.Understanding Zika virus. J Spec Pediatr Nurs. 2017 Jan; 22(1)" 
27863275,"Offerdahl DK, Dorward DW, Hansen BT, Bloom ME","2017","Jan","Cytoarchitecture of Zika virus infection in human neuroblastoma and Aedes albopictus cell lines.","Offerdahl DK, Dorward DW, Hansen BT, Bloom ME.Cytoarchitecture of Zika virus infection in human neuroblastoma and Aedes albopictus cell lines. Virology. 2017 Jan 15; 501:54-62." 
27864138,"Masi M, van der Westhuyzen AE, Tabanca N, Evidente M, Cimmino A, Green IR, Bernier UR, Becnel JJ, Bloomquist JR, van Otterlo WA, Evidente A","2017","Jan","Sarniensine, a mesembrine-type alkaloid isolated from Nerine sarniensis, an indigenous South African Amaryllidaceae, with larvicidal and adulticidal activities against Aedes aegypti.","Masi M, van der Westhuyzen AE, Tabanca N, Evidente M, Cimmino A, Green IR, Bernier UR, Becnel JJ, Bloomquist JR, van Otterlo WA, Evidente A.Sarniensine, a mesembrine-type alkaloid isolated from Nerine sarniensis, an indigenous South African Amaryllidaceae, with larvicidal and adulticidal activities against Aedes aegypti. Fitoterapia. 2017 Jan; 116:34-38." 
27865425,"Díaz-Menéndez M, Trigo E, de la Calle-Prieto F, Arsuaga M","2017","Apr","Zika virus infection during the Olympic Games in Rio: A fear or an actual risk?","Díaz-Menéndez M, Trigo E, de la Calle-Prieto F, Arsuaga M.Zika virus infection during the Olympic Games in Rio: A fear or an actual risk? Rev Clin Esp. 2017 Apr; 217(3):155-160." 
27866470,"Fisher D, Cutter J","2016","Nov","The inevitable colonisation of Singapore by Zika virus.","Fisher D, Cutter J.The inevitable colonisation of Singapore by Zika virus. BMC Med. 2016 Nov 21; 14(1):188." 
27866593,"Wiwanitkit V","2016","Dec","Zika Virus Infection: Don't Miss It.","Wiwanitkit V.Zika Virus Infection: Don't Miss It. Am J Med. 2016 Dec; 129(12):e351." 
27866611,"Govindarajan M, Hoti SL, Benelli G","2016","Dec","Facile fabrication of eco-friendly nano-mosquitocides: Biophysical characterization and effectiveness on neglected tropical mosquito vectors.","Govindarajan M, Hoti SL, Benelli G.Facile fabrication of eco-friendly nano-mosquitocides: Biophysical characterization and effectiveness on neglected tropical mosquito vectors. Enzyme Microb Technol. 2016 Dec; 95:155-163." 
27866627,"Benelli G","2016","Dec","Green synthesized nanoparticles in the fight against mosquito-borne diseases and cancer-a brief review.","Benelli G.Green synthesized nanoparticles in the fight against mosquito-borne diseases and cancer-a brief review. Enzyme Microb Technol. 2016 Dec; 95:58-68." 
27866982,"Zhang C, Feng T, Cheng J, Li Y, Yin X, Zeng W, Jin X, Li Y, Guo F, Jin T","2017","Oct","Structure of the NS5 methyltransferase from Zika virus and implications in inhibitor design.","Zhang C, Feng T, Cheng J, Li Y, Yin X, Zeng W, Jin X, Li Y, Guo F, Jin T.Structure of the NS5 methyltransferase from Zika virus and implications in inhibitor design. Biochem Biophys Res Commun. 2017 Oct 28; 492(4):624-630." 
27867910,"Giri R, Kumar D, Sharma N, Uversky VN","2016","","Intrinsically Disordered Side of the Zika Virus Proteome.","Giri R, Kumar D, Sharma N, Uversky VN.Intrinsically Disordered Side of the Zika Virus Proteome. Front Cell Infect Microbiol. 2016; 6:144." 
27868270,"Joob B, Wiwanitkit V","2017","Feb","Zika virus, HSV-2 and placenta.","Joob B, Wiwanitkit V.Zika virus, HSV-2 and placenta. Am J Reprod Immunol. 2017 Feb; 77(2)" 
27868318,"Kwak-Kim J, Song J, Kim MW, Gilman-Sachs A","2017","Feb","Zika virus infection and biological treatment for reproductive medicine.","Kwak-Kim J, Song J, Kim MW, Gilman-Sachs A.Zika virus infection and biological treatment for reproductive medicine. Am J Reprod Immunol. 2017 Feb; 77(2)" 
27869391,"Atencia MC, Pérez MJ, Jaramillo MC, Caldera SM, Cochero S, Bejarano EE","2016","Sep","[First report of the F1534C mutation associated with cross-resistance to DDT and pyrethroids in Aedes aegypti from Colombia].","Atencia MC, Pérez MJ, Jaramillo MC, Caldera SM, Cochero S, Bejarano EE.[First report of the F1534C mutation associated with cross-resistance to DDT and pyrethroids in Aedes aegypti from Colombia]. Biomedica. 2016 Sep 1; 36(3):432-437." 
27869394,"Barrera R","2016","Sep","[Recommendations for the surveillance of Aedes aegypti].","Barrera R.[Recommendations for the surveillance of Aedes aegypti]. Biomedica. 2016 Sep 1; 36(3):454-462." 
27869724,"Day JF","2016","Nov","Mosquito Oviposition Behavior and Vector Control.","Day JF.Mosquito Oviposition Behavior and Vector Control. Insects. 2016 Nov 18; 7(4)" 
27869959,"Valle D, Pimenta DN, Aguiar R","2016","Apr-Jun","[Zika, dengue and chikungunya: challenges and issues].","Valle D, Pimenta DN, Aguiar R.[Zika, dengue and chikungunya: challenges and issues]. Epidemiol Serv Saude. 2016 Apr-Jun; 25(2):419-422." 
27869964,"Garcia LP, Duarte E","2016","Oct-Dec","Evidences from epidemiological surveillance to the advancement of knowledge regarding Zika virus epidemics.","Garcia LP, Duarte E.Evidences from epidemiological surveillance to the advancement of knowledge regarding Zika virus epidemics. Epidemiol Serv Saude. 2016 Oct-Dec; 25(4):679-681." 
27869981,"Fantinato FF, Araújo EL, Ribeiro IG, Andrade MR, Dantas AL, Rios JM, Silva OM, Silva MD, Nóbrega RV, Batista DA, Leite PL, Saad E, Percio J, Resende EA, Souza PB, Wada MY","2016","Oct-Dec","Description of the first cases of Zika virus fever investigated in municipalities of the Brazilian Northeastern Region, 2015.","Fantinato FF, Araújo EL, Ribeiro IG, Andrade MR, Dantas AL, Rios JM, Silva OM, Silva MD, Nóbrega RV, Batista DA, Leite PL, Saad E, Percio J, Resende EA, Souza PB, Wada MY.Description of the first cases of Zika virus fever investigated in municipalities of the Brazilian Northeastern Region, 2015. Epidemiol Serv Saude. 2016 Oct-Dec; 25(4):683-690." 
27869982,"Vargas A, Saad E, Dimech GS, Santos RH, Sivini MA, Albuquerque LC, Lima PM, Barreto IC, Andrade ME, Estima NM, Carvalho PI, Azevedo RS, Vasconcelos RC, Assunção RS, Frutuoso LC, Carmo GM, Souza PB, Wada MY, Oliveira WK, Henriques CM, Percio J","2016","Oct-Dec","Characteristics of the first cases of microcephaly possibly related to Zika virus reported in the Metropolitan Region of Recife, Pernambuco State, Brazil.","Vargas A, Saad E, Dimech GS, Santos RH, Sivini MA, Albuquerque LC, Lima PM, Barreto IC, Andrade ME, Estima NM, Carvalho PI, Azevedo RS, Vasconcelos RC, Assunção RS, Frutuoso LC, Carmo GM, Souza PB, Wada MY, Oliveira WK, Henriques CM, Percio J.Characteristics of the first cases of microcephaly possibly related to Zika virus reported in the Metropolitan Region of Recife, Pernambuco State, Brazil. Epidemiol Serv Saude. 2016 Oct-Dec; 25(4):691-700." 
27870688,"Grossi-Soyster EN, LaBeaud AD","2017","Feb","Clinical aspects of Zika virus.","Grossi-Soyster EN, LaBeaud AD.Clinical aspects of Zika virus. Curr Opin Pediatr. 2017 Feb; 29(1):102-106." 
27870689,"Gabaglia CR","2017","Feb","Zika virus and diagnostics.","Gabaglia CR.Zika virus and diagnostics. Curr Opin Pediatr. 2017 Feb; 29(1):107-113." 
27871327,"Glynn RW, Boland M","2016","Nov","Ebola, Zika and the International Health Regulations - implications for Port Health Preparedness.","Glynn RW, Boland M.Ebola, Zika and the International Health Regulations - implications for Port Health Preparedness. Global Health. 2016 Nov 21; 12(1):74." 
27871511,"Padilla C, Pan A, Geller A, Zakowski MI","2016","Dec","Zika virus: review and obstetric anesthetic clinical considerations.","Padilla C, Pan A, Geller A, Zakowski MI.Zika virus: review and obstetric anesthetic clinical considerations. J Clin Anesth. 2016 Dec; 35:136-144." 
27872364,"Nguyen KK, O'Brien BE, Steele RW","2017","Mar","Zika Virus.","Nguyen KK, O'Brien BE, Steele RW.Zika Virus. Clin Pediatr (Phila). 2017 Mar; 56(3):213-216." 
27872736,"Zammarchi L, Spinicci M, Bartoloni A","2016","","Zika Virus: a Review from the Virus Basics to Proposed Management Strategies.","Zammarchi L, Spinicci M, Bartoloni A.Zika Virus: a Review from the Virus Basics to Proposed Management Strategies. Mediterr J Hematol Infect Dis. 2016; 8(1):e2016056." 
27874162,"Yasri S, Wiwanitkit V","2016","Dec","Emerging Zika virus.","Yasri S, Wiwanitkit V.Emerging Zika virus. Saudi Med J. 2016 Dec; 37(12):1417." 
27875110,"Duong V, Ong S, Leang R, Huy R, Ly S, Mounier U, Ou T, In S, Peng B, Ken S, Buchy P, Tarantola A, Horwood PF, Dussart P","2017","Feb","Low Circulation of Zika Virus, Cambodia, 2007-2016.","Duong V, Ong S, Leang R, Huy R, Ly S, Mounier U, Ou T, In S, Peng B, Ken S, Buchy P, Tarantola A, Horwood PF, Dussart P.Low Circulation of Zika Virus, Cambodia, 2007-2016. Emerg Infect Dis. 2017 Feb; 23(2):296-299." 
27875460,"Joob B, Wiwanitkit V","2016","Dec","Insect Repellants During Pregnancy in the Era of the Zika Virus.","Joob B, Wiwanitkit V.Insect Repellants During Pregnancy in the Era of the Zika Virus. Obstet Gynecol. 2016 Dec; 128(6):1446-1447." 
27876044,"Rose N, Pinho-Nascimento CA, Ruggieri A, Favuzza P, Tamborrini M, Roth H, Baroni de Moraes MT, Matile H, Jänisch T, Pluschke G, Röltgen K","2016","Nov","Generation of monoclonal antibodies against native viral proteins using antigen-expressing mammalian cells for mouse immunization.","Rose N, Pinho-Nascimento CA, Ruggieri A, Favuzza P, Tamborrini M, Roth H, Baroni de Moraes MT, Matile H, Jänisch T, Pluschke G, Röltgen K.Generation of monoclonal antibodies against native viral proteins using antigen-expressing mammalian cells for mouse immunization. BMC Biotechnol. 2016 Nov 22; 16(1):83." 
27876396,"Wang JZ, Guo XH, Xu DG","2017","Apr","Anatomical, animal, and cellular evidence for Zika-induced pathogenesis of fetal microcephaly.","Wang JZ, Guo XH, Xu DG.Anatomical, animal, and cellular evidence for Zika-induced pathogenesis of fetal microcephaly. Brain Dev. 2017 Apr; 39(4):294-297." 
27876484,"Theall KP, Wallace M, Wesson DM","2017","Jan","Zika: A Missed Opportunity to Protect Women's Health and Prevent Unwanted Pregnancies.","Theall KP, Wallace M, Wesson DM.Zika: A Missed Opportunity to Protect Women's Health and Prevent Unwanted Pregnancies. Womens Health Issues. 2017 Jan - Feb; 27(1):2-4." 
27876643,"Mayer SV, Tesh RB, Vasilakis N","2017","Feb","The emergence of arthropod-borne viral diseases: A global prospective on dengue, chikungunya and zika fevers.","Mayer SV, Tesh RB, Vasilakis N.The emergence of arthropod-borne viral diseases: A global prospective on dengue, chikungunya and zika fevers. Acta Trop. 2017 Feb; 166:155-163." 
27876647,"Walther D, Scheuch DE, Kampen H","2017","Feb","The invasive Asian tiger mosquito Aedes albopictus (Diptera: Culicidae) in Germany: Local reproduction and overwintering.","Walther D, Scheuch DE, Kampen H.The invasive Asian tiger mosquito Aedes albopictus (Diptera: Culicidae) in Germany: Local reproduction and overwintering. Acta Trop. 2017 Feb; 166:186-192." 
27878100,"Blázquez AB, Saiz JC","2016","Nov","Neurological manifestations of Zika virus infection.","Blázquez AB, Saiz JC.Neurological manifestations of Zika virus infection. World J Virol. 2016 Nov 12; 5(4):135-143." 
27878897,"Lucchese G, Kanduc D","2017","Feb","Minimal immune determinants connect Zika virus, human Cytomegalovirus, and Toxoplasma gondii to microcephaly-related human proteins.","Lucchese G, Kanduc D.Minimal immune determinants connect Zika virus, human Cytomegalovirus, and Toxoplasma gondii to microcephaly-related human proteins. Am J Reprod Immunol. 2017 Feb; 77(2)" 
27880747,"","2016","Nov","Announcement: Guidance for U.S. Laboratory Testing for Zika Virus Infection: Implications for Health Care Providers.","Announcement: Guidance for U.S. Laboratory Testing for Zika Virus Infection: Implications for Health Care Providers. MMWR Morb Mortal Wkly Rep. 2016 Nov 25; 65(46):1304." 
27881148,"Ngoagouni C, Kamgang B, Brengues C, Yahouedo G, Paupy C, Nakouné E, Kazanji M, Chandre F","2016","Nov","Susceptibility profile and metabolic mechanisms involved in Aedes aegypti and Aedes albopictus resistant to DDT and deltamethrin in the Central African Republic.","Ngoagouni C, Kamgang B, Brengues C, Yahouedo G, Paupy C, Nakouné E, Kazanji M, Chandre F.Susceptibility profile and metabolic mechanisms involved in Aedes aegypti and Aedes albopictus resistant to DDT and deltamethrin in the Central African Republic. Parasit Vectors. 2016 Nov 24; 9(1):599." 
27881181,"Boubidi SC, Roiz D, Rossignol M, Chandre F, Benoit R, Raselli M, Tizon C, Cadiou B, Tounsi R, Lagneau C, Fontenille D, Reiter P","2016","Nov","Efficacy of ULV and thermal aerosols of deltamethrin for control of Aedes albopictus in nice, France.","Boubidi SC, Roiz D, Rossignol M, Chandre F, Benoit R, Raselli M, Tizon C, Cadiou B, Tounsi R, Lagneau C, Fontenille D, Reiter P.Efficacy of ULV and thermal aerosols of deltamethrin for control of Aedes albopictus in nice, France. Parasit Vectors. 2016 Nov 23; 9(1):597." 
27881434,"McCarthy M","2016","Nov","Zika related microcephaly may appear after birth, study finds.","McCarthy M.Zika related microcephaly may appear after birth, study finds. BMJ. 2016 Nov 23; 355:i6333." 
27881649,"Best SM","2017","Feb","The Many Faces of the Flavivirus NS5 Protein in Antagonism of Type I Interferon Signaling.","Best SM.The Many Faces of the Flavivirus NS5 Protein in Antagonism of Type I Interferon Signaling. J Virol. 2017 Feb 1; 91(3)" 
27882950,"Zhang S, Kostyuchenko VA, Ng TS, Lim XN, Ooi JS, Lambert S, Tan TY, Widman DG, Shi J, Baric RS, Lok SM","2016","Nov","Neutralization mechanism of a highly potent antibody against Zika virus.","Zhang S, Kostyuchenko VA, Ng TS, Lim XN, Ooi JS, Lambert S, Tan TY, Widman DG, Shi J, Baric RS, Lok SM.Neutralization mechanism of a highly potent antibody against Zika virus. Nat Commun. 2016 Nov 24; 7:13679." 
27884405,"Ma W, Li S, Ma S, Jia L, Zhang F, Zhang Y, Zhang J, Wong G, Zhang S, Lu X, Liu M, Yan J, Li W, Qin C, Han D, Qin C, Wang N, Li X, Gao GF","2016","Dec","Zika Virus Causes Testis Damage and Leads to Male Infertility in Mice.","Ma W, Li S, Ma S, Jia L, Zhang F, Zhang Y, Zhang J, Wong G, Zhang S, Lu X, Liu M, Yan J, Li W, Qin C, Han D, Qin C, Wang N, Li X, Gao GF.Zika Virus Causes Testis Damage and Leads to Male Infertility in Mice. Cell. 2016 Dec 1; 167(6):1511-1524.e10." 
